Player Name,Team,Position,Goals Scored,Assists,Total Shots,Pass Accuracy %,Tackles
Aditya Sharma,Maharashtra,Forward,25,12,120,85,30
Kabir Singh,Gujarat,Midfielder,15,20,90,88,45
Aarav Kapoor,Tamil Nadu,Defender,5,8,40,92,70
Diya Patel,Uttar Pradesh,Goalkeeper,2,3,5,100,10
Riya Gupta,Karnataka,Forward,18,10,100,82,20
Oliver Thompson,West Bengal,Midfielder,12,15,80,86,40
Ishan Sharma,Telangana,Midfielder,10,18,75,90,35
Zara Khan,Punjab,Forward,20,8,95,78,25
Ananya Reddy,Odisha,Defender,4,3,35,91,60
Xavier White,Haryana,Midfielder,8,10,65,85,55
Santiago Rodriguez,Delhi,Forward,22,15,110,80,28
Mikhail Ivanov,Kerala,Defender,3,2,25,88,65
Ahmed Khan,Rajasthan,Goalkeeper,1,2,4,90,15
Liam O'Brien,Bihar,Midfielder,6,8,50,83,48
Bruno Santos,Assam,Forward,19,9,95,79,22
Aditya Roy,Maharashtra,Forward,25,12,120,85,30
Zahir Khan,Punjab,Forward,16,10,80,82,40
Kabir khan,Bihar,Midfielder,15,20,90,88,45
